ID_HERO,NAMA_HERO,CLASS,ROLE,DASH/BLINK,ROTATION SPEED,ESCAPE CAPABILITY,FLEXIBILITY,MOBILITY
H001,AAMON,ASSASSIN,JUNGLING,5,4,4,4,
H002,AKAI,TANK,ROAMING,3,3,4,4,
H003,ALDOUS,FIGHTER,EXP LANE,2,2,2,2,
H004,ALICE,"MAGE, TANK","EXP LANE, JUNGLING, MID LANE",5,4,4,4,
H005,ALPHA,FIGHTER,"EXP LANE, JUNGLING",3,4,2,4,
H006,ALUCARD,"ASSASSIN, FIGHTER",JUNGLING,4,4,4,4,
H007,ANGELA,SUPPORT,ROAMING,1,2,1,4,
H008,ARGUS,FIGHTER,EXP LANE,2,2,2,2,
H009,ARLOTT,FIGHTER,EXP LANE,3,3,4,4,
H010,ATLAS,TANK,ROAMING,2,3,2,3,
H011,AULUS,FIGHTER,JUNGLING,4,4,4,4,
H012,AURORA,MAGE,MID LANE,1,3,1,3,
H013,BADANG,FIGHTER,"EXP LANE, ROAMING",4,4,3,3,
H014,BALMOND,FIGHTER,"EXP LANE, JUNGLING",3,3,3,3,
H015,BANE,"FIGHTER, MAGE","EXP LANE, JUNGLING, MID LANE",2,4,3,3,
H016,BARATS,"FIGHTER, TANK",JUNGLING,1,4,2,2,
H017,BAXIA,TANK,JUNGLING,5,4,3,4,
H018,BEATRIX,MARKSMAN,GOLD LANE,2,3,2,3,
H019,BELERICK,TANK,ROAMING,3,3,2,2,
H020,BENEDETTA,FIGHTER,EXP LANE,5,4,5,5,
H021,BRODY,MARKSMAN,GOLD LANE,2,3,2,3,
H022,BRUNO,MARKSMAN,GOLD LANE,2,2,2,2,
H023,CARMILLA,"SUPPORT, TANK",ROAMING,3,4,3,3,
H024,CECILION,MAGE,MID LANE,1,4,1,3,
H025,CHANG E,MAGE,MID LANE,1,2,1,1,
H026,CHIP,"SUPPORT, TANK",ROAMING,5,5,5,5,
H027,CHOU,FIGHTER,"EXP LANE, ROAMING",5,4,4,5,
H028,CICI,FIGHTER,EXP LANE,3,4,4,4,
H029,CLINT,MARKSMAN,GOLD LANE,2,2,2,2,
H030,CLAUDE,MARKSMAN,GOLD LANE,2,4,4,3,
H031,CYCLOPS,MAGE,MID LANE,2,2,1,2,
H032,DIGGIE,SUPPORT,ROAMING,1,3,1,3,
H033,DYROTH,FIGHTER,"EXP LANE, JUNGLING",3,4,3,4,
H034,EDITH,"MARKSMAN, TANK","EXP LANE, ROAMING",2,3,3,4,
H035,ESMERALDA,"MAGE, TANK",EXP LANE,3,3,4,4,
H036,ESTES,SUPPORT,ROAMING,1,2,1,2,
H037,EUDORA,MAGE,MID LANE,1,1,1,1,
H038,FANNY,ASSASSIN,JUNGLING,5,5,5,5,
H039,FARAMIS,"MAGE, SUPPORT",MID LANE,2,3,3,3,
H040,FLORYN,SUPPORT,ROAMING,1,3,1,3,
H041,FRANCO,TANK,ROAMING,1,3,2,2,
H042,FREDRINN,"FIGHTER, TANK",JUNGLING,5,4,4,5,
H043,FREYA,FIGHTER,"EXP LANE, JUNGLING",4,4,4,4,
H044,GATOTKACA,"FIGHTER, TANK","EXP LANE, ROAMING",3,4,4,5,
H045,GLOO,TANK,"EXP LANE, ROAMING",3,4,4,4,
H046,GORD,MAGE,MID LANE,1,3,1,3,
H047,GRANGER,MARKSMAN,GOLD LANE,3,4,3,4,
H048,GROCK,"FIGHTER, TANK","EXP LANE, ROAMING",2,4,3,4,
H049,GUINEVERRE,FIGHTER,EXP LANE,4,4,4,4,
H050,GUSION,ASSASSIN,"JUNGLING, MID LANE",5,4,5,5,
H051,HANABI,MARKSMAN,GOLD LANE,1,2,1,2,
H052,HANZO,ASSASSIN,JUNGLING,2,4,3,3,
H053,HARITH,MAGE,"GOLD LANE, MID LANE",5,4,4,5,
H054,HARLEY,"ASSASSIN, MAGE","JUNGLING, MID LANE",5,4,4,5,
H055,HAYABUSA,ASSASSIN,JUNGLING,5,3,4,3,
H056,HELCURT,ASSASSIN,JUNGLING,5,4,5,5,
H057,HILDA,"FIGHTER, TANK","EXP LANE, ROAMING",5,5,5,4,
H058,HYLOS,TANK,ROAMING,4,5,4,4,
H059,IRITHEL,MARKSMAN,GOLD LANE,3,3,3,3,
H060,IXIA,MARKSMAN,GOLD LANE,1,3,1,3,
H061,JAWHEAD,FIGHTER,"EXP LANE, ROAMING",3,3,2,3,
H062,JOHNSON,"SUPPORT, TANK",ROAMING,3,5,3,4,
H063,JOY,ASSASSIN,JUNGLING,5,4,4,5,
H064,JULIAN,"ASSASSIN, FIGHTER",JUNGLING,5,4,4,5,
H065,KADITA,"ASSASSIN, MAGE",MID LANE,3,3,3,4,
H066,KAGURA,MAGE,MID LANE,4,4,4,4,
H067,KAJA,"FIGHTER, SUPPORT",ROAMING,4,4,3,4,
H068,KALEA,"FIGHTER, SUPPORT",ROAMING,5,4,4,5,
H069,KARRIE,MARKSMAN,GOLD LANE,2,3,3,3,
H070,KARINA,ASSASSIN,JUNGLING,4,4,3,3,
H071,KHALEED,FIGHTER,"EXP LANE, ROAMING",4,4,4,4,
